player,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Aaron Mooy,MF,Australia,32-083,1990,4.0,217,206,11,8,0,4,10,0,3,0,3,0,170,0,4
Aaron Ramsey,MF,Wales,31-346,1990,3.0,112,101,10,3,0,3,5,0,1,0,1,0,88,1,3
Abdelhamid Sabiri,MF,Morocco,26-009,1996,1.5,48,45,3,2,0,2,1,0,1,0,0,0,36,0,1
Abdelkarim Hassan,DF,Qatar,29-101,1993,3.0,161,148,13,11,0,10,6,2,0,0,0,0,122,0,8
Abderrazak Hamdallah,FW,Morocco,31-355,1990,0.5,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0
Abdessamad Ezzalzouli,FW,Morocco,20-355,2001,0.9,9,9,0,0,0,0,1,0,0,0,0,0,6,0,0
Abdou Diallo,DF,Senegal,26-217,1996,3.7,186,165,20,12,0,4,3,8,0,0,0,0,139,1,1
Abdul Fatawu Issahaku,FW,Ghana,18-274,2004,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Abdulaziz Hatem,MF,Qatar,32-040,1990,2.2,91,84,6,4,0,0,1,0,1,1,0,0,72,1,4
Abdulelah Al-Amri,DF,Saudi Arabia,25-326,1997,2.0,104,99,5,4,0,6,1,1,0,0,0,0,74,0,1
Abdulellah Al-Malki,MF,Saudi Arabia,28-057,1994,1.9,84,78,6,6,0,0,1,0,0,0,0,0,66,0,1
Abdullah Madu,DF,Saudi Arabia,29-145,1993,0.5,13,12,1,1,0,0,0,0,0,0,0,0,5,0,1
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-189,1995,0.4,13,13,0,0,0,0,2,0,0,0,0,0,8,0,2
Abolfazl Jalali,DF,IR Iran,24-164,1998,0.2,29,21,8,1,0,0,2,7,0,0,0,0,20,0,1
Achraf Hakimi,DF,Morocco,24-033,1998,4.0,203,155,47,4,1,0,7,43,0,0,0,0,164,1,4
Adrien Rabiot,MF,France,27-248,1995,3.3,188,186,2,0,0,1,5,2,0,0,0,0,163,0,2
Agustín Canobbio,MF,Uruguay,24-067,1998,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Ahmad Nourollahi,MF,IR Iran,29-308,1993,2.5,54,52,1,0,0,0,3,0,0,0,0,0,35,1,0
Ahmed Alaaeldin,FW,Qatar,29-310,1993,0.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Aimen Dahmen,GK,Tunisia,25-313,1997,3.0,77,54,23,5,0,2,0,0,0,0,0,0,48,0,0
Ajdin Hrustic,MF,Australia,26-155,1996,0.7,21,19,2,1,0,1,1,1,0,0,0,0,17,0,0
Akram Afif,FW,Qatar,26-019,1996,3.0,165,142,22,8,1,2,13,2,6,4,1,0,139,1,4
Alan Franco,MF,Ecuador,24-108,1998,0.5,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
Alejandro Balde,DF,Spain,19-050,2003,1.4,123,111,12,1,1,0,2,11,0,0,0,0,112,0,0
Aleksandar Mitrović,FW,Serbia,28-082,1994,2.9,69,57,11,0,0,2,1,0,0,0,0,0,54,1,1
Alex Sandro,DF,Brazil,31-315,1991,1.9,164,140,23,3,0,0,4,20,0,0,0,0,146,1,2
Alex Telles,DF,Brazil,29-357,1992,0.7,42,37,5,2,0,0,3,3,0,0,0,0,33,0,0
Alexander Bah,DF,Denmark,24-363,1997,0.5,53,46,7,0,0,0,4,7,0,0,0,0,37,0,1
Alexander Djiku,DF,Ghana,28-120,1994,1.1,28,27,1,1,0,0,0,0,0,0,0,0,22,0,0
Alexis Mac Allister,MF,Argentina,23-348,1998,2.6,133,133,0,0,0,1,1,0,0,0,0,0,122,0,0
Alexis Vega,FW,Mexico,25-012,1997,2.1,56,50,6,2,2,0,6,0,4,0,3,0,40,0,2
Ali Abdi,DF,Tunisia,28-352,1993,2.1,116,87,28,0,0,0,5,27,1,1,0,0,72,1,5
Ali Al Hassan,MF,Saudi Arabia,25-278,1997,0.5,7,6,1,1,0,0,1,0,0,0,0,0,4,0,1
Ali Al-Bulaihi,DF,Saudi Arabia,33-016,1989,2.4,97,87,10,4,0,1,0,6,0,0,0,0,78,0,0
Ali Assadalla,MF,Qatar,29-322,1993,0.3,23,23,0,0,0,0,0,0,0,0,0,0,21,0,0
Ali Gholizadeh,MF,IR Iran,26-272,1996,2.2,72,66,6,0,1,2,4,3,3,2,0,0,46,0,2
Ali Karimi,MF,IR Iran,28-299,1994,1.1,45,44,1,1,0,0,2,0,0,0,0,0,34,0,2
Ali Maâloul,DF,Tunisia,32-340,1990,1.0,63,43,19,1,0,1,13,12,6,5,1,0,39,1,2
Alidu Seidu,DF,Ghana,22-186,2000,1.7,78,62,16,2,0,0,6,14,0,0,0,0,59,0,2
Alireza Beiranvand,GK,IR Iran,30-077,1992,1.2,31,22,9,0,0,0,0,0,0,0,0,0,20,0,0
Alireza Jahanbakhsh,MF,IR Iran,29-118,1993,0.7,17,14,2,1,0,0,1,0,0,0,0,0,11,1,1
Alisson,GK,Brazil,30-066,1992,2.9,63,46,17,5,0,0,0,0,0,0,0,0,52,0,1
Alistair Johnston,DF,Canada,24-060,1998,3.0,186,145,41,6,0,1,8,35,0,0,0,0,147,0,3
Almoez Ali,FW,Qatar,26-110,1996,2.5,45,42,3,0,0,0,0,0,0,0,0,0,33,0,1
Alphonso Davies,MF,Canada,22-035,2000,3.0,114,84,27,5,1,1,10,15,5,3,1,0,82,3,5
Amadou Onana,MF,Belgium,21-113,2001,1.2,64,63,0,0,1,0,0,0,0,0,0,0,58,1,0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-021,1995,2.9,130,127,3,2,0,0,2,1,0,0,0,0,113,0,1
Andreas Christensen,DF,Denmark,26-241,1996,3.0,251,249,2,2,0,0,0,0,0,0,0,0,237,0,0
Andreas Cornelius,FW,Denmark,29-266,1993,1.0,34,33,1,0,0,0,1,0,0,0,0,0,21,0,0
Andreas Skov Olsen,FW,Denmark,22-343,1999,1.5,63,58,5,0,0,1,4,4,1,0,0,0,43,0,7
Andrej Kramarić,FW,Croatia,31-171,1991,3.0,99,94,5,0,0,1,5,2,0,0,0,0,87,0,0
Andries Noppert,GK,Netherlands,28-244,1994,4.0,138,101,37,6,0,1,0,0,0,0,0,0,111,0,1
Andrija Živković,DF,Serbia,26-149,1996,2.3,96,78,17,1,2,0,8,16,0,0,0,0,71,1,2
André Ayew,MF,Ghana,32-355,1989,2.2,37,30,7,1,0,0,0,1,0,0,0,0,30,0,0
André Onana,GK,Cameroon,26-249,1996,0.9,59,44,15,6,0,0,0,0,0,0,0,0,45,0,0
André Silva,FW,Portugal,27-031,1995,0.3,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0
Andrés Guardado,MF,Mexico,36-070,1986,0.5,16,14,2,1,0,0,0,0,0,0,0,0,11,0,1
Anis Ben Slimane,MF,Tunisia,21-266,2001,1.6,46,37,8,0,0,0,8,2,6,2,3,1,29,1,2
Ansu Fati,FW,Spain,20-037,2002,0.5,29,28,1,0,0,0,1,0,1,0,0,0,25,0,1
Ante Budimir,FW,Croatia,31-138,1991,0.5,5,5,0,0,0,0,0,0,0,0,0,0,2,0,1
